path,size_mb,rows,cols_declared,cols_recovered,overall_missing_pct,integrity,confidence
common-data/SingCLoud/FreeText_FTA/VW_CGH_NUCLEAR_F_Export_22-07-2024.csv,5.8,4387,12,12,0.0,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_CVIS_NUCLEAR_D_Export_22-07-2024.csv,33.89,54449,169,156,18.39,short,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_F_Export_22-07-2024_PART_1.csv,1092.68,5320492,11,11,0.1,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_F_Export_24-07-2024_PART2.csv,559.4,2741908,11,11,0.1,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_F_Export_24-07-2024_PART3.csv,1077.99,5226510,11,1,0.08,short,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export:_24-07-2024_P3.csv,980.24,3124838,30,32,34.15,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P11.csv,1493.64,4620997,30,30,33.61,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P12.csv,1451.65,4522782,30,30,34.51,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P13.csv,1491.43,4637969,30,30,34.51,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P14.csv,1538.16,4780503,30,30,34.51,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P15.csv,1502.27,4663315,30,32,34.53,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P16.csv,983.81,3049918,30,30,34.48,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P17.csv,1567.13,4835134,30,30,34.36,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P18.csv,1572.57,4836597,30,31,34.18,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P19.csv,1598.02,4947856,30,30,33.73,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P2.csv,1838.42,6050215,30,31,35.72,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P20.csv,1626.29,4987026,30,30,34.33,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P21.csv,1563.93,4797258,30,30,34.3,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P22.csv,1527.05,4682880,30,30,34.33,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P23.csv,1605.32,4920167,30,30,34.01,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P24.csv,1611.13,4929227,30,30,33.37,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P25.csv,1528.63,4667974,30,31,32.3,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P26.csv,1511.7,4616707,30,31,32.27,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P27.csv,1531.07,4683142,30,30,31.89,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P28.csv,1495.35,4584849,30,30,31.32,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P29.csv,1494.61,4575692,30,30,30.77,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P4.csv,1052.0,3324622,30,30,34.11,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P5.csv,1085.03,3426473,30,30,34.49,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P6.csv,1112.33,3513500,30,31,34.64,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P7.csv,1485.77,4644736,30,30,33.44,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P8.csv,909.1,2787367,30,30,32.43,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_DISPENSED_MEDICATION_ITEM_F_Export_24-07-2024_P9.csv,951.61,2910038,30,30,32.27,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_EVENT_DIAGNO515_F_Export_31-07-2024_P4.csv,1759.08,7856689,33,0,54.67,short,single-pass
common-data/SingCLoud/FreeText_FTA/VW_EVENT_DIAGNOSIS_F_Export_31-07-2024_P1.csv,1213.37,5084554,33,34,56.52,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_EVENT_DIAGNOSIS_F_Export_31-07-2024_P2.csv,1562.11,6102154,33,33,53.0,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_EVENT_DIAGNOSIS_F_Export_31-07-2024_P3.csv,1599.1,6421452,33,33,54.53,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_EVENT_DIAGNOSIS_F_Export_31-07-2024_P4.csv,1759.08,7056689,33,33,54.67,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_EVENT_DIAGNOSIS_F_Export_31-07-2024_P5.csv,947.86,3763418,33,33,54.34,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_EVENT_DIAGNOSIS_F_Export_31-07-2024_P6.csv,904.57,3572090,33,33,54.09,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P1.csv,1539.97,5008403,23,23,22.65,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P10.csv,1359.36,4386097,23,23,21.53,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P11.csv,1344.42,4341298,23,23,21.72,ok,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P12.csv,1362.31,4398438,23,22,21.67,short,two-pass
common-data/SingCLoud/FreeText_FTA/VW_LABORATORY_F_Export_26-07-2024_P18.csv,1478.55,4691646,23,23,20.4,ok,two-pass
